# r s iterations
-4.000000 -4.000000 2000
-3.992000 -4.000000 2000
-3.984000 -4.000000 2000
-3.976000 -4.000000 2000
-3.968000 -4.000000 2000
-3.960000 -4.000000 2000
-3.952000 -4.000000 2000
-3.944000 -4.000000 2000
-3.936000 -4.000000 2000
-3.928000 -4.000000 2000
-3.920000 -4.000000 2000
-3.912000 -4.000000 2000
-3.904000 -4.000000 2000
-3.896000 -4.000000 2000
-3.888000 -4.000000 2000
-3.880000 -4.000000 2000
-3.872000 -4.000000 2000
-3.864000 -4.000000 2000
-3.856000 -4.000000 2000
-3.848000 -4.000000 2000
-3.840000 -4.000000 2000
-3.832000 -4.000000 2000
-3.824000 -4.000000 2000
-3.816000 -4.000000 2000
-3.808000 -4.000000 2000
-3.800000 -4.000000 2000
-3.792000 -4.000000 2000
-3.784000 -4.000000 2000
-3.776000 -4.000000 2000
-3.768000 -4.000000 2000
-3.760000 -4.000000 2000
-3.752000 -4.000000 2000
-3.744000 -4.000000 2000
-3.736000 -4.000000 2000
-3.728000 -4.000000 2000
-3.720000 -4.000000 2000
-3.712000 -4.000000 2000
-3.704000 -4.000000 2000
-3.696000 -4.000000 2000
-3.688000 -4.000000 2000
-3.680000 -4.000000 2000
-3.672000 -4.000000 2000
-3.664000 -4.000000 2000
-3.656000 -4.000000 2000
-3.648000 -4.000000 2000
-3.640000 -4.000000 2000
-3.632000 -4.000000 2000
-3.624000 -4.000000 2000
-3.616000 -4.000000 2000
-3.608000 -4.000000 2000
-3.600000 -4.000000 2000
-3.592000 -4.000000 2000
-3.584000 -4.000000 2000
-3.576000 -4.000000 2000
-3.568000 -4.000000 2000
-3.560000 -4.000000 2000
-3.552000 -4.000000 2000
-3.544000 -4.000000 2000
-3.536000 -4.000000 2000
-3.528000 -4.000000 2000
-3.520000 -4.000000 2000
-3.512000 -4.000000 2000
-3.504000 -4.000000 2000
-3.496000 -4.000000 2000
-3.488000 -4.000000 2000
-3.480000 -4.000000 2000
-3.472000 -4.000000 2000
-3.464000 -4.000000 2000
-3.456000 -4.000000 2000
-3.448000 -4.000000 2000
-3.440000 -4.000000 2000
-3.432000 -4.000000 2000
-3.424000 -4.000000 2000
-3.416000 -4.000000 2000
-3.408000 -4.000000 2000
-3.400000 -4.000000 2000
-3.392000 -4.000000 2000
-3.384000 -4.000000 2000
-3.376000 -4.000000 21
-3.368000 -4.000000 21
-3.360000 -4.000000 21
-3.352000 -4.000000 22
-3.344000 -4.000000 24
-3.336000 -4.000000 2000
-3.328000 -4.000000 2000
-3.320000 -4.000000 2000
-3.312000 -4.000000 2000
-3.304000 -4.000000 23
-3.296000 -4.000000 2000
-3.288000 -4.000000 20
-3.280000 -4.000000 19
-3.272000 -4.000000 19
-3.264000 -4.000000 20
-3.256000 -4.000000 20
-3.248000 -4.000000 20
-3.240000 -4.000000 20
-3.232000 -4.000000 20
-3.224000 -4.000000 20
-3.216000 -4.000000 20
-3.208000 -4.000000 20
-3.200000 -4.000000 20
-3.192000 -4.000000 20
-3.184000 -4.000000 20
-3.176000 -4.000000 19
-3.168000 -4.000000 19
-3.160000 -4.000000 19
-3.152000 -4.000000 19
-3.144000 -4.000000 19
-3.136000 -4.000000 19
-3.128000 -4.000000 19
-3.120000 -4.000000 19
-3.112000 -4.000000 19
-3.104000 -4.000000 19
-3.096000 -4.000000 19
-3.088000 -4.000000 19
-3.080000 -4.000000 19
-3.072000 -4.000000 19
-3.064000 -4.000000 19
-3.056000 -4.000000 19
-3.048000 -4.000000 19
-3.040000 -4.000000 19
-3.032000 -4.000000 19
-3.024000 -4.000000 19
-3.016000 -4.000000 19
-3.008000 -4.000000 19
-3.000000 -4.000000 19
-2.992000 -4.000000 19
-2.984000 -4.000000 19
-2.976000 -4.000000 19
-2.968000 -4.000000 19
-2.960000 -4.000000 19
