n	x	y	T(x,y)	Erro_Absoluto
7	0.0000	0.0000	72.0000	3.777778
7	0.0000	1.0000	70.0000	3.777778
7	0.0000	2.0000	64.0000	3.777778
7	0.0000	3.0000	54.0000	3.777778
7	0.0000	4.0000	40.0000	3.777778
7	0.0000	5.0000	22.0000	3.777778
7	0.0000	6.0000	0.0000	3.777778
7	1.3333	0.0000	72.8889	3.777778
7	1.3333	1.0000	73.5556	3.777778
7	1.3333	2.0000	70.2222	3.777778
7	1.3333	3.0000	62.8889	3.777778
7	1.3333	4.0000	51.5556	3.777778
7	1.3333	5.0000	36.2222	3.777778
7	1.3333	6.0000	16.8889	3.777778
7	2.6667	0.0000	70.2222	3.777778
7	2.6667	1.0000	73.5556	3.777778
7	2.6667	2.0000	72.8889	3.777778
7	2.6667	3.0000	68.2222	3.777778
7	2.6667	4.0000	59.5556	3.777778
7	2.6667	5.0000	46.8889	3.777778
7	2.6667	6.0000	30.2222	3.777778
7	4.0000	0.0000	64.0000	3.777778
7	4.0000	1.0000	70.0000	3.777778
7	4.0000	2.0000	72.0000	3.777778
7	4.0000	3.0000	70.0000	3.777778
7	4.0000	4.0000	64.0000	3.777778
7	4.0000	5.0000	54.0000	3.777778
7	4.0000	6.0000	40.0000	3.777778
7	5.3333	0.0000	54.2222	3.777778
7	5.3333	1.0000	62.8889	3.777778
7	5.3333	2.0000	67.5556	3.777778
7	5.3333	3.0000	68.2222	3.777778
7	5.3333	4.0000	64.8889	3.777778
7	5.3333	5.0000	57.5556	3.777778
7	5.3333	6.0000	46.2222	3.777778
7	6.6667	0.0000	40.8889	3.777778
7	6.6667	1.0000	52.2222	3.777778
7	6.6667	2.0000	59.5556	3.777778
7	6.6667	3.0000	62.8889	3.777778
7	6.6667	4.0000	62.2222	3.777778
7	6.6667	5.0000	57.5556	3.777778
7	6.6667	6.0000	48.8889	3.777778
7	8.0000	0.0000	24.0000	3.777778
7	8.0000	1.0000	38.0000	3.777778
7	8.0000	2.0000	48.0000	3.777778
7	8.0000	3.0000	54.0000	3.777778
7	8.0000	4.0000	56.0000	3.777778
7	8.0000	5.0000	54.0000	3.777778
7	8.0000	6.0000	48.0000	3.777778
13	0.0000	0.0000	72.0000	1.888889
13	0.0000	0.5000	71.5000	1.888889
13	0.0000	1.0000	70.0000	1.888889
13	0.0000	1.5000	67.5000	1.888889
13	0.0000	2.0000	64.0000	1.888889
13	0.0000	2.5000	59.5000	1.888889
13	0.0000	3.0000	54.0000	1.888889
13	0.0000	3.5000	47.5000	1.888889
13	0.0000	4.0000	40.0000	1.888889
13	0.0000	4.5000	31.5000	1.888889
13	0.0000	5.0000	22.0000	1.888889
13	0.0000	5.5000	11.5000	1.888889
13	0.0000	6.0000	0.0000	1.888889
13	0.6667	0.0000	72.8889	1.888889
13	0.6667	0.5000	73.0556	1.888889
13	0.6667	1.0000	72.2222	1.888889
13	0.6667	1.5000	70.3889	1.888889
13	0.6667	2.0000	67.5556	1.888889
13	0.6667	2.5000	63.7222	1.888889
13	0.6667	3.0000	58.8889	1.888889
13	0.6667	3.5000	53.0556	1.888889
13	0.6667	4.0000	46.2222	1.888889
13	0.6667	4.5000	38.3889	1.888889
13	0.6667	5.0000	29.5556	1.888889
13	0.6667	5.5000	19.7222	1.888889
13	0.6667	6.0000	8.8889	1.888889
13	1.3333	0.0000	72.8889	1.888889
13	1.3333	0.5000	73.7222	1.888889
13	1.3333	1.0000	73.5556	1.888889
13	1.3333	1.5000	72.3889	1.888889
13	1.3333	2.0000	70.2222	1.888889
13	1.3333	2.5000	67.0556	1.888889
13	1.3333	3.0000	62.8889	1.888889
13	1.3333	3.5000	57.7222	1.888889
13	1.3333	4.0000	51.5556	1.888889
13	1.3333	4.5000	44.3889	1.888889
13	1.3333	5.0000	36.2222	1.888889
13	1.3333	5.5000	27.0556	1.888889
13	1.3333	6.0000	16.8889	1.888889
13	2.0000	0.0000	72.0000	1.888889
13	2.0000	0.5000	73.5000	1.888889
13	2.0000	1.0000	74.0000	1.888889
13	2.0000	1.5000	73.5000	1.888889
13	2.0000	2.0000	72.0000	1.888889
13	2.0000	2.5000	69.5000	1.888889
13	2.0000	3.0000	66.0000	1.888889
13	2.0000	3.5000	61.5000	1.888889
13	2.0000	4.0000	56.0000	1.888889
13	2.0000	4.5000	49.5000	1.888889
13	2.0000	5.0000	42.0000	1.888889
13	2.0000	5.5000	33.5000	1.888889
13	2.0000	6.0000	24.0000	1.888889
13	2.6667	0.0000	70.2222	1.888889
13	2.6667	0.5000	72.3889	1.888889
13	2.6667	1.0000	73.5556	1.888889
13	2.6667	1.5000	73.7222	1.888889
13	2.6667	2.0000	72.8889	1.888889
13	2.6667	2.5000	71.0556	1.888889
13	2.6667	3.0000	68.2222	1.888889
13	2.6667	3.5000	64.3889	1.888889
13	2.6667	4.0000	59.5556	1.888889
13	2.6667	4.5000	53.7222	1.888889
13	2.6667	5.0000	46.8889	1.888889
13	2.6667	5.5000	39.0556	1.888889
13	2.6667	6.0000	30.2222	1.888889
13	3.3333	0.0000	67.5556	1.888889
13	3.3333	0.5000	70.3889	1.888889
13	3.3333	1.0000	72.2222	1.888889
13	3.3333	1.5000	73.0556	1.888889
13	3.3333	2.0000	72.8889	1.888889
13	3.3333	2.5000	71.7222	1.888889
13	3.3333	3.0000	69.5556	1.888889
13	3.3333	3.5000	66.3889	1.888889
13	3.3333	4.0000	62.2222	1.888889
13	3.3333	4.5000	57.0556	1.888889
13	3.3333	5.0000	50.8889	1.888889
13	3.3333	5.5000	43.7222	1.888889
13	3.3333	6.0000	35.5556	1.888889
13	4.0000	0.0000	64.0000	1.888889
